DATE,FLSTHPI
1975-01-01,65.87
1975-04-01,83.05
1975-07-01,66.71
1975-10-01,68.08
1976-01-01,67.85
1976-04-01,75.98
1976-07-01,69.27
1976-10-01,70.62
1977-01-01,71.11
1977-04-01,79.07
1977-07-01,72.4
1977-10-01,74.79
1978-01-01,78.48
1978-04-01,83.42
1978-07-01,83.02
1978-10-01,84.66
1979-01-01,89.8
1979-04-01,92.34
1979-07-01,93.7
1979-10-01,98.09
1980-01-01,100.00
1980-04-01,99.68
1980-07-01,105.8
1980-10-01,108.69
1981-01-01,110.39
1981-04-01,112.34
1981-07-01,108.13
1981-10-01,104.78
1982-01-01,113.25
1982-04-01,114.78
1982-07-01,105.12
1982-10-01,113.01
1983-01-01,121.44
1983-04-01,123.73
1983-07-01,124.23
1983-10-01,124.58
1984-01-01,125.65
1984-04-01,126.75
1984-07-01,127.96
1984-10-01,126.33
1985-01-01,127.75
1985-04-01,128.22
1985-07-01,128.03
1985-10-01,129.76
1986-01-01,131.22
1986-04-01,134.66
1986-07-01,135.55
1986-10-01,135.74
1987-01-01,136.42
1987-04-01,138.55
1987-07-01,138.76
1987-10-01,139.79
1988-01-01,141.24
1988-04-01,144.18
1988-07-01,145.31
1988-10-01,146.5
1989-01-01,147.64
1989-04-01,148.62
1989-07-01,151.11
1989-10-01,152.26
1990-01-01,152.96
1990-04-01,152.44
1990-07-01,153.37
1990-10-01,152.79
1991-01-01,154.54
1991-04-01,154.97
1991-07-01,154.76
1991-10-01,157.42
1992-01-01,159.31
1992-04-01,157.87
1992-07-01,160.53
1992-10-01,160.63
1993-01-01,160.86
1993-04-01,162.57
1993-07-01,163.89
1993-10-01,165.5
1994-01-01,165.3
1994-04-01,164.19
1994-07-01,164.45
1994-10-01,164.41
1995-01-01,164.97
1995-04-01,167.24
1995-07-01,170.38
1995-10-01,171.73
1996-01-01,173.56
1996-04-01,172.52
1996-07-01,173.03
1996-10-01,173.98
1997-01-01,175.96
1997-04-01,175.88
1997-07-01,178.23
1997-10-01,181.29
1998-01-01,184.79
1998-04-01,184.61
1998-07-01,186.97
1998-10-01,189.7
1999-01-01,190.82
1999-04-01,192.28
1999-07-01,194.58
1999-10-01,196.96
2000-01-01,200.84
2000-04-01,204.42
2000-07-01,208.7
2000-10-01,213.09
2001-01-01,219.23
2001-04-01,224.76
2001-07-01,229.92
2001-10-01,235.47
2002-01-01,240.17
2002-04-01,247.48
2002-07-01,254.48
2002-10-01,260.23
2003-01-01,265.79
2003-04-01,272.22
2003-07-01,278.75
2003-10-01,291.74
2004-01-01,300.6
2004-04-01,314.73
2004-07-01,334.44
2004-10-01,349.7
2005-01-01,368.43
2005-04-01,395.88
2005-07-01,423.4
2005-10-01,445.76
2006-01-01,463.08
2006-04-01,472.99
2006-07-01,476.39
2006-10-01,479.73
2007-01-01,476.71
2007-04-01,470.47
2007-07-01,453.67
2007-10-01,442.25
2008-01-01,424.55
2008-04-01,395.31
2008-07-01,363.22
2008-10-01,344.73
2009-01-01,350.58
2009-04-01,332.49
2009-07-01,313.36
2009-10-01,305.54
2010-01-01,299.65
2010-04-01,291.4
2010-07-01,294.85
2010-10-01,289.47
2011-01-01,275.72
2011-04-01,267.35
2011-07-01,270.24
2011-10-01,272.52
2012-01-01,267.14
2012-04-01,265.16
2012-07-01,271.57
2012-10-01,275.21
2013-01-01,279.06
2013-04-01,288.36
2013-07-01,295.79
2013-10-01,303.41
2014-01-01,308.02
2014-04-01,316.12
2014-07-01,323.02
2014-10-01,328.82
2015-01-01,336.22
2015-04-01,344.46
2015-07-01,352.98
2015-10-01,360.11
2016-01-01,366.57
2016-04-01,375.97
2016-07-01,386.41
2016-10-01,392.83
2017-01-01,400.24
2017-04-01,410.02
2017-07-01,417.14
2017-10-01,425.4
2018-01-01,433.78
2018-04-01,441.98
2018-07-01,449.17
2018-10-01,452.62
2019-01-01,459.82
2019-04-01,465.59
2019-07-01,473.34
2019-10-01,479.25
2020-01-01,486.34
2020-04-01,493.08
2020-07-01,501.71
2020-10-01,514.58
2021-01-01,530.18
2021-04-01,563.44
2021-07-01,606.25
