Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2000,6944.5,6950.9,6983.1,7006.8,7039.5,7026.8,7073.9,7127.1,7112.9,7117.2,7129.4,7143.7
2001,7126.2,7142.4,7152.9,7152.5,7156.2,7142.8,7157.9,7185.6,7157.5,7137.5,7121.5,7114.4
2002,7116.6,7120.2,7130.8,7137.9,7147.0,7133.7,7146.2,7175.3,7164.6,7184.7,7191.2,7199.4
2003,7196.8,7201.1,7209.5,7209.4,7211.1,7234.4,7229.3,7233.6,7250.6,7271.6,7274.7,7290.6
2004,7352.1,7371.6,7390.3,7431.4,7453.6,7493.9,7516.9,7519.6,7485.1,7561.1,7599.3,7628.8
2005,7650.2,7670.7,7668.7,7716.4,7753.0,7761.6,7813.0,7839.5,7874.1,7873.4,7880.5,7903.5
2006,7913.2,7924.9,7952.1,7958.9,7977.2,7993.7,7997.4,8017.5,8022.7,8017.3,8021.2,8031.8
2007,8044.4,8045.3,8054.7,8038.1,8031.4,8025.4,7996.4,7984.5,7967.0,7947.2,7940.4,7931.1
2008,7901.3,7893.9,7862.9,7810.1,7776.6,7743.5,7705.1,7671.2,7637.6,7580.0,7533.1,7489.5
2009,7415.1,7362.6,7312.8,7271.3,7250.3,7224.8,7199.5,7175.8,7157.1,7145.6,7147.9,7132.2
2010,7129.3,7131.9,7137.5,7157.7,7201.5,7188.9,7191.1,7191.5,7172.1,7201.8,7196.7,7201.3
2011,7215.4,7211.8,7218.2,7249.0,7242.7,7235.1,7259.7,7265.1,7284.1,7284.3,7291.3,7304.2
2012,7325.1,7334.2,7354.2,7379.8,7379.9,7394.5,7399.1,7408.5,7426.4,7454.0,7462.6,7472.1
2013,7486.2,7508.7,7524.4,7539.2,7552.1,7577.6,7592.6,7614.0,7629.8,7647.6,7666.8,7684.3
2014,7701.2,7721.6,7742.6,7777.5,7795.9,7814.3,7833.7,7859.4,7883.6,7904.2,7933.6,7957.0
2015,7977.6,7997.8,8017.1,8038.4,8070.2,8091.9,8124.6,8147.8,8165.4,8208.0,8233.6,8255.6
2016,8270.3,8291.6,8309.8,8339.7,8358.6,8364.8,8411.9,8425.1,8449.0,8458.7,8476.8,8495.6
2017,8513.9,8523.7,8539.2,8550.8,8570.1,8587.8,8595.1,8603.9,8431.2,8625.9,8642.7,8663.5
2018,8678.2,8704.3,8725.6,8739.8,8753.6,8774.8,8789.4,8819.0,8841.2,8847.7,8858.9,8861.2
2019,8881.3,8905.9,8915.6,8931.8,8941.0,8950.1,8973.8,8992.9,8993.8,9025.9,9038.0,9046.0
2020,9063.0,9072.1,8999.4,7802.9,8050.9,8339.9,8399.6,8399.5,8460.8,8473.8,8474.6,8492.0
2021,8492.5,8521.4,8552.0,8577.8,8616.9,8688.2,8761.7,8782.2,8860.9,8902.4,,
