zip_code,Yearly_Avg_Zip,FL_Unemployment,year,Encoded_Zip,total_pop,households,male_pop,female_pop,median_age,male_under_5,male_5_to_9,male_10_to_14,male_15_to_17,male_18_to_19,male_20,male_21,male_22_to_24,male_25_to_29,male_30_to_34,male_35_to_39,male_40_to_44,male_45_to_49,male_50_to_54,male_55_to_59,male_65_to_66,male_67_to_69,male_70_to_74,male_75_to_79,male_80_to_84,male_85_and_over,female_under_5,female_5_to_9,female_10_to_14,female_15_to_17,female_18_to_19,female_20,female_21,female_22_to_24,female_25_to_29,female_30_to_34,female_35_to_39,female_40_to_44,female_45_to_49,female_50_to_54,female_55_to_59,female_60_to_61,female_62_to_64,female_65_to_66,female_67_to_69,female_70_to_74,female_75_to_79,female_80_to_84,female_85_and_over,population_1_year_and_over,population_3_years_over,pop_16_over,pop_25_years_over,pop_25_64,not_us_citizen_pop,other_race_pop,two_or_more_races_pop,median_income,income_per_capita,income_less_10000,income_10000_14999,income_15000_19999,income_20000_24999,income_25000_29999,income_30000_34999,income_35000_39999,income_40000_44999,income_45000_49999,income_50000_59999,income_60000_74999,income_75000_99999,income_100000_124999,income_125000_149999,income_150000_199999,income_200000_or_more,pop_determined_poverty_status,poverty,gini_index,housing_units,renter_occupied_housing_units_paying_cash_median_gross_rent,owner_occupied_housing_units_lower_value_quartile,owner_occupied_housing_units_median_value,owner_occupied_housing_units_upper_value_quartile,occupied_housing_units,housing_units_renter_occupied,vacant_housing_units,vacant_housing_units_for_rent,vacant_housing_units_for_sale,dwellings_1_units_detached,dwellings_1_units_attached,dwellings_2_units,dwellings_3_to_4_units,dwellings_5_to_9_units,dwellings_10_to_19_units,dwellings_20_to_49_units,dwellings_50_or_more_units,mobile_homes,housing_built_2005_or_later,housing_built_2000_to_2004,housing_built_1939_or_earlier,median_year_structure_built,married_households,nonfamily_households,family_households,households_public_asst_or_food_stamps,male_male_households,female_female_households,children,children_in_single_female_hh,median_rent,percent_income_spent_on_rent,rent_burden_not_computed,rent_over_50_percent,rent_40_to_50_percent,rent_35_to_40_percent,rent_30_to_35_percent,rent_25_to_30_percent,rent_20_to_25_percent,rent_15_to_20_percent,rent_10_to_15_percent,rent_under_10_percent,owner_occupied_housing_units,million_dollar_housing_units,mortgaged_housing_units,different_house_year_ago_different_city,different_house_year_ago_same_city,families_with_young_children,two_parent_families_with_young_children,two_parents_in_labor_force_families_with_young_children,two_parents_father_in_labor_force_families_with_young_children,two_parents_mother_in_labor_force_families_with_young_children,two_parents_not_in_labor_force_families_with_young_children,one_parent_families_with_young_children,father_one_parent_families_with_young_children,father_in_labor_force_one_parent_families_with_young_children,commute_less_10_mins,commute_10_14_mins,commute_15_19_mins,commute_20_24_mins,commute_25_29_mins,commute_30_34_mins,commute_35_44_mins,commute_60_more_mins,commute_45_59_mins,commuters_16_over,walked_to_work,worked_at_home,no_car,no_cars,one_car,two_cars,three_cars,four_more_cars,aggregate_travel_time_to_work,commuters_by_public_transportation,commuters_by_bus,commuters_by_car_truck_van,commuters_by_carpool,commuters_by_subway_or_elevated,commuters_drove_alone,group_quarters,associates_degree,bachelors_degree,high_school_diploma,less_one_year_college,masters_degree,one_year_more_college,less_than_high_school_graduate,high_school_including_ged,bachelors_degree_2,bachelors_degree_or_higher_25_64,graduate_professional_degree,some_college_and_associates_degree,male_45_64_associates_degree,male_45_64_bachelors_degree,male_45_64_graduate_degree,male_45_64_less_than_9_grade,male_45_64_grade_9_12,male_45_64_high_school,male_45_64_some_college,male_45_to_64,employed_pop,unemployed_pop,pop_in_labor_force,not_in_labor_force,workers_16_and_over,armed_forces,civilian_labor_force,employed_agriculture_forestry_fishing_hunting_mining,employed_arts_entertainment_recreation_accommodation_food,employed_construction,employed_education_health_social,employed_finance_insurance_real_estate,employed_information,employed_manufacturing,employed_other_services_not_public_admin,employed_public_administration,employed_retail_trade,employed_science_management_admin_waste,employed_transportation_warehousing_utilities,employed_wholesale_trade,occupation_management_arts,occupation_natural_resources_construction_maintenance,occupation_production_transportation_material,occupation_sales_office,occupation_services,management_business_sci_arts_employed,sales_office_employed,in_grades_1_to_4,in_grades_5_to_8,in_grades_9_to_12,in_school,in_undergrad_college,FLSTHPI_Yearly_Avg
33160,1988.0,5.5249999999999995,2015,73,39235,19187,19087,20148,48.8,772,822,982,572,152,132,113,404,1191,1183,1436,1266,1573,1211,1450,507,614,1019,933,859,600,603,674,704,390,181,113,152,537,1142,1190,1403,1216,1449,1424,1593,489,1034,696,856,1462,852,1002,986,39064.0,38472,34378.0,31932,21546.0,9222.0,106,315,47959.0,47918.0,1800.0,1131.0,1208.0,1294.0,1019.0,1071.0,825.0,660.0,921.0,1550.0,1594.0,1832.0,1261.0,855.0,582.0,1584.0,39126.0,5557.0,0.6171,36781,1362.0,130200.0,260800.0,538300.0,19187,7805,17594,653,459,1957,932,127,273,232,438,1592,31105,99,0,133,230,1978.0,7244,9658,9529,1241.0,119,29,5519,1132,1285.0,36.5,528.0,2430.0,899.0,436.0,607.0,710.0,916.0,869.0,309.0,101.0,11382,674,5068,2517.0,1382.0,1636.0,1373.0,492.0,746.0,110.0,25.0,263.0,58.0,58.0,1100.0,1975.0,2378.0,1454.0,1183.0,1685.0,2616.0,1422.0,2811.0,16624.0,581.0,1648.0,434.0,1869.0,10676.0,5707.0,735.0,200.0,504895.0,679.0,666.0,15052.0,1268.0,0.0,13784.0,96,2632,7320,5414,1612,4376,5228,2211.0,5999.0,7320.0,10799.0,6930.0,9472.0,589,1270,1599,69,128,598,1277,5530,18634.0,1058.0,19703.0,14675.0,18272.0,11.0,19692.0,38.0,2043.0,695.0,2702.0,2417.0,379.0,643.0,1232.0,485.0,2467.0,3517.0,968.0,1048.0,8276.0,698.0,1313.0,5554.0,2793.0,8276.0,5554.0,1312,994,1283,6732,1737,348.4425
33025,1433.25,5.5249999999999995,2015,41,60994,21770,28737,32257,33.4,2338,2164,2113,1262,725,430,253,1004,2855,3003,2550,1660,1901,1694,1430,407,459,543,396,182,349,2461,1811,1814,1441,705,305,447,1509,2950,2779,2863,2556,2262,2156,1551,570,815,307,552,816,833,417,337,60138.0,58079,47323.0,40212,34614.0,10262.0,493,833,54758.0,23516.0,1526.0,607.0,909.0,1085.0,1138.0,1217.0,1046.0,1315.0,1035.0,1921.0,2856.0,3463.0,2066.0,919.0,563.0,104.0,60334.0,6543.0,0.365,25822,1410.0,95300.0,158800.0,232000.0,21770,11054,4052,1380,265,7440,4752,87,685,2234,2890,4603,2166,965,119,494,140,1992.0,8681,7613,14157,2448.0,31,10,15404,5395,1269.0,35.1,257.0,3324.0,1160.0,933.0,951.0,1512.0,1374.0,837.0,613.0,93.0,10716,0,8206,6702.0,2859.0,5593.0,3396.0,2647.0,720.0,29.0,0.0,2197.0,225.0,186.0,1455.0,2719.0,3571.0,5257.0,2225.0,6785.0,2618.0,2583.0,3902.0,31115.0,67.0,549.0,403.0,875.0,10181.0,8405.0,1663.0,646.0,910480.0,593.0,575.0,30210.0,1673.0,0.0,28537.0,699,5884,7850,9259,2871,3154,6039,2980.0,10403.0,7850.0,10954.0,4185.0,14794.0,683,1312,612,130,217,1557,1533,6044,32027.0,2880.0,34973.0,12350.0,31664.0,66.0,34907.0,50.0,2468.0,1028.0,8682.0,2673.0,899.0,1219.0,1650.0,1634.0,4471.0,3953.0,2052.0,1248.0,11785.0,1908.0,2787.0,9833.0,5714.0,11785.0,9833.0,3150,3155,3604,18386,5038,348.4425
33139,2046.25,5.5249999999999995,2015,61,38035,20149,20756,17279,38.8,938,412,238,168,125,166,248,698,2886,2314,2347,1922,2239,1679,961,298,352,586,600,409,321,1137,810,567,256,144,107,130,638,1960,1907,1819,1270,954,746,863,366,539,330,429,760,501,343,703,37383.0,36774,33795.0,31253,25621.0,10709.0,272,347,46354.0,53975.0,2250.0,1568.0,1111.0,1077.0,1023.0,1255.0,686.0,928.0,533.0,1321.0,1480.0,1932.0,1461.0,572.0,974.0,1978.0,37284.0,6686.0,0.624,32795,1206.0,218400.0,376600.0,742500.0,20149,13718,12646,1143,233,1464,340,127,1591,2026,5522,5231,16351,143,10,245,2665,1968.0,4729,13695,6454,2912.0,406,17,4526,1179,1118.0,32.9,756.0,3964.0,908.0,1089.0,1256.0,2141.0,1111.0,1456.0,575.0,462.0,6431,335,3423,4420.0,3805.0,2320.0,1747.0,1090.0,583.0,40.0,34.0,573.0,299.0,299.0,3271.0,4529.0,3673.0,2776.0,686.0,2738.0,1206.0,1103.0,1039.0,21021.0,4507.0,2319.0,5802.0,6495.0,9829.0,3139.0,523.0,163.0,466025.0,1738.0,1604.0,11795.0,968.0,74.0,10827.0,626,2461,8108,4808,1302,4273,3481,3696.0,5314.0,8108.0,13028.0,6891.0,7244.0,388,1400,1490,130,323,1043,954,5728,23653.0,1033.0,24802.0,8993.0,23340.0,116.0,24686.0,40.0,6260.0,711.0,2968.0,2708.0,830.0,587.0,1367.0,628.0,2408.0,3397.0,1102.0,647.0,9524.0,809.0,838.0,5834.0,6648.0,9524.0,5834.0,922,690,491,5580,1745,348.4425
33024,1356.0833333333333,5.5249999999999995,2015,40,71860,22838,35172,36688,37.6,2379,2221,2062,1369,1340,602,655,1639,2781,2365,2215,2326,2843,2957,1846,705,892,1001,617,384,325,2177,2144,2506,1162,882,501,355,1455,2645,2173,2732,2947,2457,2910,2536,815,1093,712,827,1193,699,891,876,70980.0,69238,57580.0,48411,39289.0,10138.0,543,1029,50680.0,22519.0,1053.0,1413.0,1056.0,1529.0,1363.0,1202.0,1116.0,1159.0,1382.0,2002.0,2374.0,2948.0,1984.0,820.0,792.0,645.0,71638.0,8930.0,0.419,25410,1219.0,113100.0,162700.0,232800.0,22838,7594,2572,553,335,15812,2465,437,795,1099,1924,1762,874,235,45,1218,283,1975.0,10400,6344,16494,4180.0,51,100,16020,4630,1071.0,41.0,525.0,2492.0,1164.0,648.0,799.0,671.0,670.0,393.0,186.0,46.0,15244,65,11055,6562.0,3735.0,5103.0,2720.0,2001.0,635.0,84.0,0.0,2383.0,533.0,451.0,2089.0,3395.0,4833.0,6128.0,2725.0,6051.0,3081.0,3221.0,3031.0,34554.0,316.0,898.0,1037.0,1408.0,7552.0,9322.0,3549.0,1007.0,990690.0,677.0,646.0,33107.0,3452.0,29.0,29655.0,114,4879,6706,13515,3139,2897,7407,6960.0,15494.0,6706.0,9583.0,3826.0,15425.0,783,1406,747,257,809,3258,2034,9294,36075.0,4524.0,40623.0,16957.0,35452.0,24.0,40599.0,391.0,4115.0,2266.0,7198.0,2646.0,1085.0,1880.0,2383.0,1384.0,5640.0,4076.0,1816.0,1195.0,10101.0,4177.0,3575.0,11047.0,7175.0,10101.0,11047.0,3785,3863,3637,19756,5345,348.4425
32256,1074.8333333333333,5.5249999999999995,2015,10,41609,18606,19462,22147,33.7,1009,1073,1162,883,208,167,258,974,2701,2350,959,1139,1086,1289,1181,305,515,409,421,251,234,992,1178,1096,636,331,294,169,1546,2670,1777,1330,1436,1476,1504,1459,364,732,540,704,667,340,476,430,40988.0,40094,34415.0,29633,24341.0,4548.0,109,1459,53487.0,35047.0,1142.0,717.0,657.0,766.0,948.0,1052.0,1137.0,1198.0,809.0,1802.0,2320.0,2002.0,1429.0,647.0,955.0,1025.0,41427.0,4224.0,0.4611,20844,1067.0,126000.0,251100.0,383800.0,18606,11464,2238,779,153,5375,1488,264,1489,3114,4846,2755,1188,325,59,876,27,1993.0,7454,8781,9825,1169.0,29,106,8029,2283,912.0,28.0,455.0,2111.0,1101.0,728.0,953.0,1515.0,1745.0,1550.0,1069.0,237.0,7142,80,5154,3992.0,6358.0,2328.0,1905.0,1058.0,680.0,138.0,29.0,423.0,99.0,76.0,2346.0,3698.0,5017.0,4085.0,1757.0,2345.0,664.0,549.0,694.0,21155.0,156.0,1398.0,285.0,577.0,9131.0,7310.0,1189.0,399.0,429705.0,89.0,78.0,20671.0,2205.0,11.0,18466.0,113,2044,8921,4187,1542,4066,5282,1185.0,4844.0,8921.0,12614.0,5815.0,8868.0,289,1389,1012,30,69,582,1073,4444,22667.0,1634.0,24392.0,10023.0,22553.0,91.0,24301.0,83.0,2077.0,745.0,4518.0,4286.0,458.0,901.0,1082.0,823.0,2809.0,3822.0,704.0,359.0,10984.0,848.0,946.0,6483.0,3406.0,10984.0,6483.0,1854,1751,1887,10474,2926,348.4425
33009,1532.0833333333333,5.5249999999999995,2015,36,40835,19197,19151,21684,46.7,1101,847,694,595,182,169,131,499,1369,997,1425,1169,1497,1183,1176,708,633,1352,782,648,488,1160,781,802,603,308,73,171,702,1286,1289,1625,1296,1599,1256,1439,635,1150,527,834,1388,926,819,1015,40454.0,39514,34934.0,32017,21897.0,8869.0,31,356,33254.0,25138.0,2471.0,1712.0,1824.0,1459.0,1375.0,1053.0,1067.0,672.0,731.0,1530.0,1591.0,1537.0,892.0,502.0,296.0,485.0,40782.0,9117.0,0.5082,30883,1064.0,81500.0,144300.0,236500.0,19197,8513,11686,595,416,3049,1124,1229,1060,749,1225,4029,15945,2447,0,144,402,1974.0,6690,9457,9740,3359.0,86,31,6583,2216,968.0,39.5,802.0,2956.0,847.0,514.0,831.0,674.0,857.0,411.0,438.0,183.0,10684,120,4070,4244.0,2811.0,2550.0,1616.0,1031.0,568.0,17.0,0.0,934.0,90.0,75.0,1363.0,1959.0,2422.0,2736.0,927.0,2642.0,1584.0,1574.0,1721.0,16928.0,446.0,691.0,800.0,2255.0,11314.0,4816.0,654.0,158.0,491195.0,885.0,812.0,15119.0,1201.0,0.0,13918.0,106,3004,6037,7910,1501,2105,4489,4758.0,8784.0,6037.0,6617.0,3444.0,8994.0,557,607,871,370,443,1608,906,5362,17936.0,2553.0,20506.0,14428.0,17619.0,17.0,20489.0,35.0,3026.0,928.0,2580.0,1936.0,277.0,806.0,1493.0,350.0,2530.0,2252.0,1083.0,640.0,4846.0,1526.0,1606.0,5023.0,4935.0,4846.0,5023.0,1580,1131,1447,7265,1698,348.4425
32822,1021.0833333333334,5.5249999999999995,2015,27,56512,21714,27278,29234,33.8,1761,1430,2092,1006,617,560,541,1497,2531,2684,1939,1916,1306,1835,1467,356,651,671,347,372,317,1987,1925,1425,1148,839,388,520,1572,2642,1908,2388,1695,1971,2209,1319,486,744,559,972,964,515,345,713,55826.0,54367,45294.0,37204,30422.0,6754.0,156,840,32264.0,16727.0,2086.0,1773.0,2080.0,2258.0,1817.0,1560.0,1443.0,1477.0,1269.0,1990.0,1734.0,1287.0,568.0,131.0,166.0,75.0,56316.0,15342.0,0.4047,25086,942.0,51400.0,88100.0,130300.0,21714,13106,3372,859,238,7240,2029,266,1723,2822,4767,2235,1138,2866,15,121,65,1986.0,7371,8701,13013,5735.0,27,0,12774,5640,785.0,39.7,462.0,4593.0,1664.0,1063.0,992.0,1256.0,1522.0,1145.0,317.0,92.0,8608,7,5299,9611.0,1991.0,4304.0,1740.0,1129.0,465.0,77.0,69.0,2564.0,657.0,549.0,1022.0,2373.0,4427.0,5401.0,1745.0,4599.0,2276.0,1169.0,1917.0,24929.0,404.0,597.0,1230.0,2072.0,11279.0,6857.0,1304.0,202.0,659520.0,1392.0,1392.0,22461.0,2721.0,0.0,19740.0,129,4133,4457,11166,2254,1137,5460,6764.0,12648.0,4457.0,5177.0,1488.0,11847.0,533,687,212,420,944,2134,1060,5990,25957.0,3710.0,29772.0,15522.0,25526.0,105.0,29667.0,32.0,4987.0,1708.0,3721.0,1535.0,390.0,932.0,1541.0,460.0,4534.0,3041.0,2711.0,365.0,5041.0,2400.0,3695.0,7376.0,7445.0,5041.0,7376.0,2873,2922,2715,14650,4338,348.4425
33186,1456.4166666666667,5.5249999999999995,2015,79,72078,21822,34082,37996,38.4,2198,2496,2371,1624,1173,587,662,1507,1832,2745,2109,2344,2582,2722,2029,472,651,966,361,380,430,2440,1765,1722,1243,864,448,518,1647,2623,2351,2509,3649,2735,2460,2707,1087,1578,795,1090,1186,839,969,771,71460.0,69686,58094.0,48813,39903.0,12754.0,259,794,61105.0,24780.0,1120.0,702.0,844.0,1075.0,646.0,747.0,1197.0,1088.0,885.0,2393.0,2330.0,3069.0,2268.0,1343.0,1558.0,557.0,71784.0,7428.0,0.3935,23924,1424.0,152700.0,215900.0,286700.0,21822,6215,2102,617,222,12650,5719,77,708,698,1472,1956,443,187,0,51,34,1987.0,12282,5181,16641,2492.0,16,24,15859,2896,1291.0,36.3,447.0,1645.0,962.0,373.0,659.0,644.0,792.0,455.0,228.0,10.0,15607,0,11995,5511.0,1002.0,5271.0,4021.0,2665.0,1238.0,22.0,96.0,1250.0,266.0,245.0,1144.0,2122.0,3524.0,5153.0,1900.0,6565.0,3072.0,6413.0,4493.0,34386.0,309.0,1081.0,360.0,482.0,7242.0,10076.0,2956.0,1066.0,1205720.0,981.0,525.0,32563.0,2750.0,332.0,29813.0,249,5835,11065,10483,2620,4057,7464,4171.0,11548.0,11065.0,15029.0,6110.0,15919.0,1112,2030,1487,203,414,2154,1774,9174,35953.0,3027.0,39082.0,19012.0,35467.0,102.0,38980.0,304.0,3155.0,1622.0,8693.0,3284.0,767.0,1343.0,1470.0,1816.0,4316.0,5016.0,2741.0,1426.0,14531.0,2180.0,1925.0,11479.0,5838.0,14531.0,11479.0,3423,3144,4179,20909,6361,348.4425
33064,1359.5,5.5249999999999995,2015,46,57115,19771,28570,28545,38.6,1421,1886,1915,905,901,233,353,1131,1800,2585,2041,1750,2145,2202,1896,564,821,952,746,359,434,1913,1823,1808,1103,452,250,383,1048,1766,2118,1743,1561,2119,2318,1919,866,970,375,894,977,910,673,556,56551.0,55107,45570.0,39590,31329.0,13176.0,47,688,44784.0,23266.0,1455.0,1417.0,1030.0,1421.0,1138.0,1156.0,1286.0,1023.0,1107.0,2135.0,1904.0,1660.0,1258.0,514.0,486.0,781.0,55823.0,11739.0,0.4775,24051,1089.0,67800.0,121900.0,236900.0,19771,6693,4280,511,365,11823,1147,742,1003,1022,1705,3045,1719,1845,4,36,399,1970.0,7985,7577,12194,3445.0,21,59,12774,4617,945.0,38.0,348.0,1901.0,1053.0,541.0,565.0,694.0,556.0,678.0,260.0,97.0,13078,258,7952,5534.0,3304.0,3642.0,1737.0,1265.0,445.0,27.0,0.0,1905.0,458.0,453.0,2681.0,3065.0,4321.0,4293.0,1032.0,7146.0,1139.0,1315.0,1453.0,26445.0,521.0,926.0,884.0,1266.0,8797.0,7107.0,2066.0,535.0,669635.0,1053.0,1006.0,24221.0,3740.0,17.0,20481.0,999,2844,5630,12978,1635,1595,5342,7170.0,14436.0,5630.0,6442.0,2533.0,9821.0,546,1391,691,593,731,2603,1218,7773,27728.0,3581.0,31336.0,14234.0,27371.0,27.0,31309.0,0.0,3890.0,3069.0,4186.0,1938.0,542.0,1492.0,1929.0,553.0,4794.0,3611.0,925.0,799.0,6031.0,3804.0,3372.0,7411.0,7110.0,6031.0,7411.0,3169,3045,2748,13421,2605,348.4425
33027,1698.75,5.5249999999999995,2015,42,59500,21412,26321,33179,42.1,1284,2056,1903,964,662,141,378,901,1389,1560,2071,1979,2089,1631,1905,219,719,576,557,1014,599,1832,1527,2296,896,819,371,186,866,1875,2021,1987,2259,2519,2415,1418,526,1406,745,682,1420,1553,1627,1933,58914.0,57896,47971.0,42418,30774.0,7713.0,650,400,64079.0,30333.0,1499.0,1049.0,1278.0,922.0,979.0,642.0,1292.0,843.0,498.0,1000.0,2468.0,1977.0,2679.0,1519.0,1395.0,1372.0,59401.0,4025.0,0.4483,24423,1488.0,109700.0,233800.0,358500.0,21412,3579,3011,507,702,11526,3315,51,241,349,929,3422,4241,349,0,95,25,1998.0,11594,6894,14518,1630.0,44,10,12758,2481,1303.0,43.9,331.0,1444.0,296.0,189.0,275.0,372.0,341.0,252.0,79.0,0.0,17833,33,12282,2992.0,1264.0,3597.0,2640.0,1472.0,1100.0,59.0,9.0,957.0,99.0,99.0,1052.0,1622.0,2354.0,3241.0,1523.0,5354.0,2957.0,2181.0,3882.0,24166.0,13.0,1446.0,349.0,2302.0,7168.0,8460.0,2760.0,722.0,771020.0,216.0,188.0,23623.0,2023.0,0.0,21600.0,14,4571,10562,7701,2518,4299,5834,3716.0,8923.0,10562.0,14708.0,6294.0,12923.0,820,1967,1226,42,315,1418,1561,7349,26000.0,2374.0,28393.0,19578.0,25612.0,19.0,28374.0,0.0,1753.0,700.0,6033.0,2822.0,1133.0,1240.0,1206.0,1217.0,3265.0,3647.0,1650.0,1334.0,14208.0,1047.0,1154.0,7060.0,2531.0,14208.0,7060.0,3114,3531,2780,16224,3934,348.4425
33311,1289.75,5.5249999999999995,2015,85,67235,20932,32211,35024,36.1,2302,2712,1848,1304,868,869,255,1226,2123,1804,2472,1718,2058,2330,2525,836,672,1164,682,482,340,2432,2610,2752,1507,1045,501,381,1358,2574,1815,2122,2377,2232,2175,2000,739,1410,725,725,1228,941,767,608,66279.0,64484,51553.0,43265,34095.0,8402.0,297,650,31913.0,15490.0,2921.0,1536.0,1982.0,1544.0,1792.0,1498.0,1165.0,1055.0,742.0,1856.0,1868.0,1475.0,680.0,410.0,295.0,113.0,66431.0,20454.0,0.452,25480,985.0,75500.0,109700.0,167900.0,20932,11705,4548,1129,356,12400,1214,1850,2487,1563,1466,1579,2458,463,21,300,758,1967.0,5859,7473,13459,8139.0,268,68,17467,10143,852.0,42.8,624.0,4845.0,971.0,1027.0,647.0,1234.0,911.0,821.0,452.0,173.0,9227,8,5917,7508.0,4747.0,5328.0,1392.0,980.0,359.0,0.0,53.0,3936.0,426.0,324.0,1519.0,2717.0,4455.0,3851.0,1772.0,4291.0,1493.0,2137.0,1836.0,24071.0,379.0,627.0,1746.0,3315.0,9713.0,5499.0,1732.0,673.0,655205.0,2612.0,2612.0,20380.0,3400.0,0.0,16980.0,1010,3104,3409,14380,1810,1131,5635,11281.0,16342.0,3409.0,3971.0,1684.0,10549.0,420,723,455,724,1430,3497,1285,8534,25338.0,6298.0,31636.0,19917.0,24698.0,0.0,31636.0,32.0,3758.0,1465.0,5955.0,1365.0,486.0,932.0,1357.0,1169.0,3797.0,2890.0,1251.0,881.0,4726.0,1963.0,3171.0,6910.0,8568.0,4726.0,6910.0,4664,3605,4416,18928,3456,348.4425
